airport_ident,type,description,frequency_mhz
00CA,CTAF,CTAF,122.9
01FL,CTAF,CEDAR KNOLL TRAFFIC,122.8
01FL,ARCAL,,122.9
04CA,CTAF,CTAF,122.9
04MS,UNIC,UNICOM,122.8
04NV,UNIC,UNICOM,123
05CL,CTAF,CTAF,122.9
06FA,GND,GND,121.65
06FA,TWR,TWR,120.4
06FA,APP,PALM BEACH APP,124.6
06MO,CTAF,CTAF,122.9
07FA,UNIC,UNICOM,122.7
07MT,CNTR,SALT LAKE CITY CNTR,126.85
07TE,CNTR,HOUSTON CNTR,126.625
09CL,CTAF,CTAF,122.9
09FA,UNIC,UNICOM,122.8
09TS,CNTR,ALBUQUERQUE CNTR,132.65
0AZ2,UNIC,UNICOM,122.95
0C2,CTAF,,122.9
0CA9,CTAF,CTAF,122.9
0ID2,ARTC,SALT LAKE CITY CNTR,128.35
0TE4,UNIC,CTAF/UNICOM,122.8
0TE5,CNTR,HOUSTON CNTR,126.625
0TE7,UNIC,UNICOM,122.8
0TX1,CTAF,,123.075
0TX1,UNIC,UNICOM,123.05
11II,CTAF,CTAF,126.2
11II,CNTR,INDIANAPOLIS CNTR,134.85
11II,MISC,ANG RNG CON,138.25
11II,MISC,RNG CON,38.9
12NC,APP,CHERRY POINT APP,119.75
13NC,CTAF,,322.1
13NC,APP,CHERRY POINT APP,119.35
14NC,A/D,CHERRY POINT APP,119.35
14TS,CNTR,HOUSTON CNTR,126.625
15AR,UNIC,RDO CTL,122.725
15FL,UNIC,UNICOM,123
16X,CNTR,FORT WORTH CNTR,127.45
18AZ,UNIC,UNICOM,122.975
18TA,CNTR,HOUSTON CNTR,126.625
18TE,UNIC,UNICOM,122.8
1AZ0,UNIC,UNICOM,122.725
1CA1,CTAF,CTAF,122.9
1CD2,APP,DENVER APP,119.3
1GA0,UNIC,UNICOM,122.725
1L4,CTAF,Kidwell traffic,122.9
1MS8,APP,MERIDIAN APP,31.48
1WA6,CTAF,Fall City Traffic,122.9
1XS8,CNTR,HOUSTON CNTR,126.625
20GA,MULT,MULT,122.9
22XS,TWR,GRAY TWR,120.75
22XS,ATIS,ATIS,118.8
22XS,A/G,TWR,143.35
22XS,INFO,RNG CTL,30.45
22XS,MISC,FORT HOOD FLT FLW,38.75
22XS,OPS,GRAY OPS,38.7
22XS,PMSV,PMSV GRAY METRO,41.2
23XS,TWR,GRAY TWR,120.75
23XS,ATIS,ATIS,118.8
23XS,A/G,LONGHORN AUX TWR,143.35
23XS,INFO,RNG CTL,30.45
23XS,MISC,FORT HOOD FLT FLW,38.75
23XS,OPS,GRAY OPS,38.7
23XS,PMSV,PMSV GRAY METRO,41.2
24CL,CTAF,CTAF,122.9
25NC,MULT,MULTICOM,122.9
25TA,CNTR,HOUSTON CNTR,126.625
25TS,CNTR,ALBUQUERQUE CNTR,132.65
27AZ,CTAF,CTAF,122.9
28TA,CNTR,HOUSTON CNTR,126.625
28TA,UNIC,UNICOM,122.8
29AZ,UNIC,UNICOM,122.8
29TX,CNTR,FORT WORTH CNTR,127.45
2CL9,CTAF,CTAF,122.9
2CN4,CTAF,CTAF,122.9
2D7,CTAF,CTAF/UNICOM,122.8
2D7,APP/DEP,CLEVELAND APP/DEP,125.5
2IG4,UNIC,UNICOM,122.8
2OH1,CTAF,,122.9
2OH9,GND,Caesar Creek Ground,123.3
2OH9,TFC,Caesar Creek Traffic,123.3
2OR1,UNIC,UNICOM,122.8
2TA6,CNTR,FORT WORTH CNTR,127.45
2TA8,CNTR,HOUSTON CNTR,126.625
2TX3,CNTR,HOUSTON CNTR,126.625
2TX4,CNTR,HOUSTON CNTR,126.625
2VG2,UNIC,UNICOM,122.725
2XA0,CTAF,CTAF,122.9
2XA0,CNTR,FORT WORTH CNTR,127.45
2XS3,CNTR,FORT WORTH CNTR,127.45
2XS5,CNTR,HOUSTON CNTR,126.625
31VA,UNIC,UNICOM,122.75
36CA,CTAF,CTAF,122.9
36WI,CTAF,CTAF,122.9
36WI,MISC,LIGHT,122.6
38XS,UNIC,UNICOM,122.8
3B3,CTAF,CTAF,122.9
3MO4,CTAF,CTAF,122.9
3OH0,UNICOM,,122.9
3TA0,CNTR,HOUSTON CNTR,126.625
3TA5,CNTR,HOUSTON CNTR,126.625
3TA6,CNTR,HOUSTON CNTR,126.625
3TS1,CNTR,HOUSTON CNTR,126.625
3XS8,CNTR,HOUSTON CNTR,126.625
42KY,UNIC,UNICOM,122.8
46CN,UNIC,UNICOM,123
48Y,A/D,MINNEAPOLIS CNTR,134.75
48Y,UNIC,UNICOM,122.8
4AK6,CTAF,CTAF,122.9
4TA0,FSS,MONTGOMERY CO RDO,122.2
4TA6,CNTR,HOUSTON CNTR,126.625
4TE9,CNTR,HOUSTON CNTR,126.625
4TS8,CNTR,HOUSTON CNTR,126.625
55XS,UNIC,UNICOM,122.7
57AZ,UNIC,UNICOM,122.9
57FA,UNIC,UNICOM,122.8
57MD,CTAF,,122.9
58CL,CTAF,CTAF,122.9
5CA7,CTAF,CTAF,122.9
5K2,UNIC,CTAF/UNICOM,122.8
5KY4,CTAF,CTAF,122.9
5KY7,UNIC,CTAF/UNICOM,122.8
5LS9,FSS,DE RIDDER RDO,122.2
5TE0,MISC,RWY LGT,123.3
60IA,CTAF,,122.9
60TE,CNTR,HOUSTON CNTR,126.625
60TE,UNIC,UNICOM,122.75
63XS,CNTR,HOUSTON CNTR,126.625
66TE,CTAF,,123.075
67CA,CTAF,CTAF,122.9
68CA,CTAF,CTAF,122.9
68TS,UNIC,UNICOM,122.7
69TX,CNTR,HOUSTON CNTR,126.625
6F1,CTAF,CTAF,122.9
6NC1,UNIC,UNICOM,122.7
6TE6,CNTR,FORT WORTH CNTR,127.45
72CL,CTAF,CTAF,122.9
72MI,UNIC,UNICOM,122.75
